center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type
629130,PHC CHANDRAWATIGANJ(PANCHAYAT),CHANDRAWATIGANJ,Madhya Pradesh,Indore,Sawer,453551,23,75,09:00:00,17:00:00,Free
623859,BANEDIYA SHC(PANCHAYAT BHAWAN),BANEDIYA SHC,Madhya Pradesh,Indore,DEPALPUR,453115,22,75,09:00:00,17:00:00,Free
639403,MATABAROLI (PANCHAYAT BHAWN),MATABARODIA,Madhya Pradesh,Indore,Sawer,453551,24,78,09:00:00,17:00:00,Free
570831,CHC DEPALPUR(OLD MATERNITY(18),Betma Naka CHC Depalpur,Madhya Pradesh,Indore,DEPALPUR,453115,22,75,09:00:00,17:00:00,Free
623379,AJNOD (PANCHAYAT BHAWN/SCHOOL),AJNOD SHC,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
577693,Hukumchand UPHC 01,Hukumchand Hospital Gujrati Girls Collage Ke Samne Maharani Road,Madhya Pradesh,Indore,INDORE,452014,22,75,09:00:00,16:00:00,Free
737760,DRIVE IN SUPER CITY MHOWGAON,DRIVE IN VACCINATION SUPER CITY MHOWGAON PIN CODE 453441,Madhya Pradesh,Indore,MHOW,453441,22,75,09:00:00,17:00:00,Free
732375,PANCHAYAT BHAWAN RAMBADODIYA,PANCHAYAT BHAWAN RAMBADODIYA,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
736073,DRIVE IN BETMA 1,DRIVE IN BETMA 1,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
646378,NAGAR NIGAM ZONE 03,Lonkhde Pool Ke Pass D R P Line Chouraha Indore,Madhya Pradesh,Indore,INDORE,452014,22,75,09:00:00,17:00:00,Free
717341,Suryavanshi Samaj Dharmshala,Ranipura,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
639786,KACHHALIYA (PANCHAYAT BHAWN),KHACHALIYA,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
618408,NAGAR NIGAM ZONE 13,PANDIT DINDAYAL UPADHYAY ZONE 13 MATA GUJRI COLLAGE KE SAMNE AB Rd Vishnu Puri Colony,Madhya Pradesh,Indore,INDORE,452014,22,75,09:00:00,17:00:00,Free
646388,NAGAR NIGAM ZONE 11,NEHRU STEDIYAM,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,17:00:00,Free
624124,AGRA SHC,AGRA SHC,Madhya Pradesh,Indore,DEPALPUR,453115,22,75,09:00:00,17:00:00,Free
623345,DHARAMPURI (PANCHAYAT BHAWN),Dharampuri SHC,Madhya Pradesh,Indore,Sawer,453771,22,75,09:00:00,17:00:00,Free
658456,Anand Mangal Parisar Hall,Chitawad Anand Nagar Ward 64 Navlakha Indore,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
624145,Kalibillod SHC(PANCHAYAT BHAWA,Kalibillod SHC,Madhya Pradesh,Indore,DEPALPUR,453001,22,75,09:00:00,17:00:00,Free
639799,MAHARAJGANJ KHEDHA (PANCHAYAT),MAHARAJGANJ KHEDA,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
723847,Nehru Stadium Drive In,Nehru Stadium (sanyogitaganj Zone) Dhanwantari Drive In Centre,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
646375,NAGAR NIGAM ZONE 02,RAJ MAHOLA INDORE,Madhya Pradesh,Indore,INDORE,452002,22,75,09:00:00,17:00:00,Free
623446,MANGLIYA (PANCHAYAT BHAWN),MANGLIA SHC,Madhya Pradesh,Indore,Sawer,453771,22,75,09:00:00,17:00:00,Free
570836,CHC SANWER (PANCHAYAT BHAWN),SANWER INDORE,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
639413,BARLAIJAGIR (PANCHAYAT BHAWN),BARLAIJAGIR,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
646396,NAGAR NIGAM ZONE 19,SCHEME NO 140 Overhead Water Tank. Passport Office K Piche Indore,Madhya Pradesh,Indore,INDORE,452016,22,75,09:00:00,17:00:00,Free
